date,location,location_name,value
2021-08-27,BE,Belgium,NA
2021-08-30,BE,Belgium,171
2021-08-31,BE,Belgium,84
2021-09-01,BE,Belgium,67
2021-09-02,BE,Belgium,74
2021-09-03,BE,Belgium,61
2021-09-06,BE,Belgium,204
2021-09-07,BE,Belgium,85
2021-09-08,BE,Belgium,64
2021-09-09,BE,Belgium,62
2021-09-10,BE,Belgium,62
2021-09-13,BE,Belgium,148
2021-09-14,BE,Belgium,77
2021-09-15,BE,Belgium,62
2021-09-16,BE,Belgium,75
2021-09-17,BE,Belgium,58
2021-09-20,BE,Belgium,144
2021-09-21,BE,Belgium,62
2021-09-22,BE,Belgium,58
2021-09-23,BE,Belgium,67
2021-09-24,BE,Belgium,33
2021-08-28,DK,Denmark,NA
2021-08-29,DK,Denmark,22
2021-08-30,DK,Denmark,24
2021-08-31,DK,Denmark,27
2021-09-01,DK,Denmark,35
2021-09-02,DK,Denmark,24
2021-09-03,DK,Denmark,33
2021-09-05,DK,Denmark,39
2021-09-06,DK,Denmark,17
2021-09-07,DK,Denmark,28
2021-09-08,DK,Denmark,28
2021-09-09,DK,Denmark,24
2021-09-10,DK,Denmark,21
2021-09-11,DK,Denmark,18
2021-09-12,DK,Denmark,12
2021-09-13,DK,Denmark,10
2021-09-14,DK,Denmark,17
2021-09-15,DK,Denmark,17
2021-09-16,DK,Denmark,8
2021-09-17,DK,Denmark,16
2021-09-18,DK,Denmark,12
2021-09-19,DK,Denmark,9
2021-09-20,DK,Denmark,14
2021-09-21,DK,Denmark,15
2021-09-22,DK,Denmark,8
2021-09-23,DK,Denmark,12
2021-09-24,DK,Denmark,9
2021-09-25,DK,Denmark,12
2021-09-26,DK,Denmark,11
2021-07-12,EE,Estonia,NA
2021-08-28,EE,Estonia,355
2021-08-29,EE,Estonia,13
2021-08-31,EE,Estonia,38
2021-09-01,EE,Estonia,20
2021-09-03,EE,Estonia,25
2021-09-05,EE,Estonia,34
2021-09-06,EE,Estonia,13
2021-09-07,EE,Estonia,18
2021-09-08,EE,Estonia,13
2021-09-09,EE,Estonia,36
2021-09-10,EE,Estonia,20
2021-09-11,EE,Estonia,13
2021-09-13,EE,Estonia,27
2021-09-14,EE,Estonia,21
2021-09-15,EE,Estonia,19
2021-09-16,EE,Estonia,26
2021-09-17,EE,Estonia,17
2021-09-18,EE,Estonia,14
2021-09-19,EE,Estonia,20
2021-09-21,EE,Estonia,37
2021-09-22,EE,Estonia,25
